! Name of species
H2O
! Number of parameters
5
! Parameter name, Number of different values, values
NHTOT
15
1.000e+02
1.000e+03
1.000e+04
3.162e+04
1.000e+05
3.162e+05
1.000e+06
3.162e+06
1.000e+07
3.162e+07
1.000e+08
3.162e+08
1.000e+09
3.162e+09
1.000e+10
T
17
1.000e+01
1.500e+01
1.800e+01
2.000e+01
2.200e+01
2.500e+01
3.000e+01
4.000e+01
5.000e+01
7.000e+01
9.000e+01
1.000e+02
1.100e+02
1.300e+02
2.000e+02
4.000e+02
1.000e+03
Alpha_UV
12
1.000e-01
1.000e+00
3.162e+00
1.000e+01
3.162e+01
1.000e+02
3.162e+02
1.000e+03
3.162e+03
1.000e+04
1.000e+05
1.000e+06
Beta_UV
8
1.000e-03
1.000e-02
1.000e-01
3.162e-01
1.000e+00
3.162e+00
1.000e+01
1.000e+02
Zeta
1
5.000e-17
! Number of timesteps / Time in s
5
1.000e+11
3.162e+11
1.000e+12
3.162e+12
1.000e+13
! Parameters (NHTOT,T,Alpha_uv,Beta_uv,Zeta) / Fractional abundance (for each timestep)
    1.000e+02    1.000e+01    3.162e+03    1.000e+00    5.000e-17    9.022e-14    8.616e-14    7.862e-14    6.731e-14    5.923e-14
    1.000e+02    1.000e+01    3.162e+03    3.162e+00    5.000e-17    2.724e-09    2.730e-09    2.735e-09    2.733e-09    2.715e-09
    1.000e+02    1.000e+01    3.162e+03    1.000e+01    5.000e-17    3.585e-10    1.752e-09    7.923e-09    1.198e-08    8.696e-09
    1.000e+02    1.000e+01    3.162e+03    1.000e+02    5.000e-17    3.586e-10    1.753e-09    7.940e-09    1.221e-08    1.343e-08
    1.000e+02    1.000e+01    1.000e+04    1.000e-03    5.000e-17    3.448e-19    3.243e-19    3.245e-19    3.245e-19    3.245e-19
    1.000e+02    1.000e+01    1.000e+04    1.000e-02    5.000e-17    2.133e-17    4.339e-19    3.480e-19    3.486e-19    3.486e-19
    1.000e+02    1.000e+01    1.000e+04    1.000e-01    5.000e-17    2.606e-16    8.877e-17    4.388e-18    6.949e-19    7.136e-19
    1.000e+02    1.000e+01    1.000e+04    3.162e-01    5.000e-17    9.136e-16    7.094e-16    3.338e-16    4.118e-17    3.693e-18
    1.000e+02    1.000e+01    1.000e+04    1.000e+00    5.000e-17    1.384e-14    1.304e-14    1.122e-14    8.741e-15    6.606e-15
    1.000e+02    1.000e+01    1.000e+04    3.162e+00    5.000e-17    2.722e-09    2.726e-09    2.728e-09    2.722e-09    6.255e-12
    1.000e+02    1.000e+01    1.000e+04    1.000e+01    5.000e-17    3.584e-10    1.750e-09    7.899e-09    1.187e-08    7.939e-09
    1.000e+02    1.000e+01    1.000e+04    1.000e+02    5.000e-17    3.586e-10    1.753e-09    7.940e-09    1.221e-08    1.343e-08
    1.000e+02    1.000e+01    1.000e+05    1.000e-03    5.000e-17    3.273e-22    3.273e-22    3.273e-22    3.273e-22    3.273e-22
    1.000e+02    1.000e+01    1.000e+05    1.000e-02    5.000e-17    3.512e-22    3.518e-22    3.518e-22    3.517e-22    3.517e-22
    1.000e+02    1.000e+01    1.000e+05    1.000e-01    5.000e-17    6.126e-21    7.056e-22    7.235e-22    7.235e-22    7.235e-22
    1.000e+02    1.000e+01    1.000e+05    3.162e-01    5.000e-17    1.260e-18    9.045e-20    3.837e-21    4.084e-21    4.085e-21
    1.000e+02    1.000e+01    1.000e+05    1.000e+00    5.000e-17    1.455e-16    1.237e-16    7.896e-17    2.633e-17    2.002e-18
    1.000e+02    1.000e+01    1.000e+05    3.162e+00    5.000e-17    2.720e-09    2.719e-09    9.543e-13    3.991e-13    2.487e-13
    1.000e+02    1.000e+01    1.000e+05    1.000e+01    5.000e-17    3.567e-10    1.727e-09    7.605e-09    1.111e-08    7.216e-09
    1.000e+02    1.000e+01    1.000e+05    1.000e+02    5.000e-17    3.586e-10    1.753e-09    7.940e-09    1.221e-08    1.343e-08
    1.000e+02    1.000e+01    1.000e+06    1.000e-03    5.000e-17    3.276e-25    3.276e-25    3.276e-25    3.275e-25    3.275e-25
    1.000e+02    1.000e+01    1.000e+06    1.000e-02    5.000e-17    3.521e-25    3.521e-25    3.521e-25    3.521e-25    3.521e-25
    1.000e+02    1.000e+01    1.000e+06    1.000e-01    5.000e-17    7.245e-25    7.245e-25    7.245e-25    7.245e-25    7.244e-25
    1.000e+02    1.000e+01    1.000e+06    3.162e-01    5.000e-17    3.926e-24    4.098e-24    4.098e-24    4.098e-24    4.098e-24
    1.000e+02    1.000e+01    1.000e+06    1.000e+00    5.000e-17    3.831e-19    7.415e-20    2.923e-21    9.517e-22    9.779e-22
    1.000e+02    1.000e+01    1.000e+06    3.162e+00    5.000e-17    3.496e-14    1.660e-14    8.466e-15    6.046e-15    5.657e-15
    1.000e+02    1.000e+01    1.000e+06    1.000e+01    5.000e-17    3.401e-10    1.520e-09    5.400e-09    6.892e-09    5.280e-09
    1.000e+02    1.000e+01    1.000e+06    1.000e+02    5.000e-17    3.586e-10    1.753e-09    7.940e-09    1.221e-08    1.343e-08
    1.000e+02    1.500e+01    1.000e-01    1.000e-03    5.000e-17    7.545e-08    7.210e-08    5.911e-08    5.149e-08    5.061e-08
    1.000e+02    1.500e+01    1.000e-01    1.000e-02    5.000e-17    7.407e-08    7.281e-08    6.200e-08    5.172e-08    5.005e-08
    1.000e+02    1.500e+01    1.000e-01    1.000e-01    5.000e-17    6.559e-08    6.784e-08    6.269e-08    5.145e-08    4.410e-08
    1.000e+02    1.500e+01    1.000e-01    3.162e-01    5.000e-17    4.805e-08    5.392e-08    5.287e-08    4.653e-08    3.632e-08
    1.000e+02    1.500e+01    1.000e-01    1.000e+00    5.000e-17    1.179e-08    2.227e-08    2.586e-08    2.238e-08    1.617e-08
    1.000e+02    1.500e+01    1.000e-01    3.162e+00    5.000e-17    3.815e-10    1.880e-09    8.638e-09    1.369e-08    1.046e-08
    1.000e+02    1.500e+01    1.000e-01    1.000e+01    5.000e-17    3.608e-10    1.832e-09    8.737e-09    1.448e-08    1.622e-08
    1.000e+02    1.500e+01    1.000e-01    1.000e+02    5.000e-17    3.608e-10    1.832e-09    8.740e-09    1.450e-08    1.623e-08
    1.000e+02    1.500e+01    1.000e+00    1.000e-03    5.000e-17    7.291e-08    7.138e-08    7.127e-08    7.102e-08    1.279e-10
    1.000e+02    1.500e+01    1.000e+00    1.000e-02    5.000e-17    7.277e-08    7.092e-08    7.054e-08    7.030e-08    9.535e-11
    1.000e+02    1.500e+01    1.000e+00    1.000e-01    5.000e-17    6.711e-08    6.559e-08    6.394e-08    6.351e-08    1.020e-10
    1.000e+02    1.500e+01    1.000e+00    3.162e-01    5.000e-17    5.397e-08    5.344e-08    5.201e-08    4.999e-08    1.569e-10
    1.000e+02    1.500e+01    1.000e+00    1.000e+00    5.000e-17    2.620e-08    2.642e-08    2.640e-08    2.558e-08    2.345e-08
    1.000e+02    1.500e+01    1.000e+00    3.162e+00    5.000e-17    5.600e-10    2.247e-09    7.791e-09    1.004e-08    7.160e-09
