! Name of species
CO
! Number of parameters
5
! Parameter name, Number of different values, values
NHTOT
15
1.000e+02
1.000e+03
1.000e+04
3.162e+04
1.000e+05
3.162e+05
1.000e+06
3.162e+06
1.000e+07
3.162e+07
1.000e+08
3.162e+08
1.000e+09
3.162e+09
1.000e+10
T
17
1.000e+01
1.500e+01
1.800e+01
2.000e+01
2.200e+01
2.500e+01
3.000e+01
4.000e+01
5.000e+01
7.000e+01
9.000e+01
1.000e+02
1.100e+02
1.300e+02
2.000e+02
4.000e+02
1.000e+03
Alpha_UV
12
1.000e-01
1.000e+00
3.162e+00
1.000e+01
3.162e+01
1.000e+02
3.162e+02
1.000e+03
3.162e+03
1.000e+04
1.000e+05
1.000e+06
Beta_UV
8
1.000e-03
1.000e-02
1.000e-01
3.162e-01
1.000e+00
3.162e+00
1.000e+01
1.000e+02
Zeta
1
5.000e-17
! Number of timesteps / Time in s
5
1.000e+11
3.162e+11
1.000e+12
3.162e+12
1.000e+13
! Parameters (NHTOT,T,Alpha_uv,Beta_uv,Zeta) / Fractional abundance (for each timestep)
    1.000e+02    1.000e+01    1.000e+01    1.000e-03    5.000e-17    1.701e-08    1.696e-08    1.298e-11    1.175e-11    9.272e-12
    1.000e+02    1.000e+01    1.000e+01    1.000e-02    5.000e-17    3.966e-08    2.802e-08    2.217e-11    2.103e-11    1.915e-11
    1.000e+02    1.000e+01    1.000e+01    1.000e-01    5.000e-17    5.651e-06    1.029e-07    7.915e-11    7.598e-11    7.341e-11
    1.000e+02    1.000e+01    1.000e+01    3.162e-01    5.000e-17    4.594e-05    1.443e-05    4.522e-07    4.286e-10    4.104e-10
    1.000e+02    1.000e+01    1.000e+01    1.000e+00    5.000e-17    7.741e-05    7.475e-05    6.664e-05    4.578e-05    1.006e-05
    1.000e+02    1.000e+01    1.000e+01    3.162e+00    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.218e-05    5.822e-05
    1.000e+02    1.000e+01    1.000e+01    1.000e+01    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.972e-05
    1.000e+02    1.000e+01    1.000e+01    1.000e+02    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.000e+01    3.162e+01    1.000e-03    5.000e-17    5.388e-09    3.009e-12    2.696e-12    1.963e-12    1.007e-12
    1.000e+02    1.000e+01    3.162e+01    1.000e-02    5.000e-17    8.906e-09    5.168e-12    4.913e-12    4.305e-12    3.199e-12
    1.000e+02    1.000e+01    3.162e+01    1.000e-01    5.000e-17    4.551e-08    1.799e-11    1.745e-11    1.643e-11    1.508e-11
    1.000e+02    1.000e+01    3.162e+01    3.162e-01    5.000e-17    1.446e-05    4.043e-07    9.782e-11    8.951e-11    8.602e-11
    1.000e+02    1.000e+01    3.162e+01    1.000e+00    5.000e-17    7.517e-05    6.804e-05    4.942e-05    1.683e-05    8.560e-08
    1.000e+02    1.000e+01    3.162e+01    3.162e+00    5.000e-17    7.846e-05    7.806e-05    7.665e-05    7.216e-05    5.808e-05
    1.000e+02    1.000e+01    3.162e+01    1.000e+01    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.970e-05
    1.000e+02    1.000e+01    3.162e+01    1.000e+02    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.000e+01    1.000e+02    1.000e-03    5.000e-17    7.741e-13    6.973e-13    5.157e-13    2.439e-13    6.203e-14
    1.000e+02    1.000e+01    1.000e+02    1.000e-02    5.000e-17    1.335e-12    1.281e-12    1.132e-12    8.165e-13    4.159e-13
    1.000e+02    1.000e+01    1.000e+02    1.000e-01    5.000e-17    4.665e-12    4.555e-12    4.319e-12    3.835e-12    3.096e-12
    1.000e+02    1.000e+01    1.000e+02    3.162e-01    5.000e-17    3.814e-07    2.769e-11    2.336e-11    2.181e-11    2.020e-11
    1.000e+02    1.000e+01    1.000e+02    1.000e+00    5.000e-17    6.845e-05    5.058e-05    1.910e-05    6.189e-07    8.012e-10
    1.000e+02    1.000e+01    1.000e+02    3.162e+00    5.000e-17    7.846e-05    7.806e-05    7.664e-05    7.212e-05    5.793e-05
    1.000e+02    1.000e+01    1.000e+02    1.000e+01    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.965e-05
    1.000e+02    1.000e+01    1.000e+02    1.000e+02    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.000e+01    3.162e+02    1.000e-03    5.000e-17    1.628e-13    1.253e-13    6.399e-14    1.331e-14    3.754e-15
    1.000e+02    1.000e+01    3.162e+02    1.000e-02    5.000e-17    2.985e-13    2.706e-13    2.050e-13    1.047e-13    2.621e-14
    1.000e+02    1.000e+01    3.162e+02    1.000e-01    5.000e-17    1.092e-12    1.054e-12    9.528e-13    7.535e-13    4.819e-13
    1.000e+02    1.000e+01    3.162e+02    3.162e-01    5.000e-17    9.601e-12    5.998e-12    5.661e-12    5.046e-12    4.295e-12
    1.000e+02    1.000e+01    3.162e+02    1.000e+00    5.000e-17    5.090e-05    1.979e-05    9.359e-07    2.907e-10    2.409e-10
    1.000e+02    1.000e+01    3.162e+02    3.162e+00    5.000e-17    7.846e-05    7.805e-05    7.662e-05    7.204e-05    5.758e-05
    1.000e+02    1.000e+01    3.162e+02    1.000e+01    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.952e-05
    1.000e+02    1.000e+01    3.162e+02    1.000e+02    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.000e+01    1.000e+03    1.000e-03    5.000e-17    2.304e-14    1.280e-14    2.745e-15    6.322e-16    6.171e-16
    1.000e+02    1.000e+01    1.000e+03    1.000e-02    5.000e-17    4.826e-14    3.922e-14    2.216e-14    5.237e-15    1.144e-15
    1.000e+02    1.000e+01    1.000e+03    1.000e-01    5.000e-17    1.944e-13    1.831e-13    1.543e-13    1.012e-13    3.989e-14
    1.000e+02    1.000e+01    1.000e+03    3.162e-01    5.000e-17    1.232e-12    1.196e-12    1.100e-12    9.206e-13    6.766e-13
    1.000e+02    1.000e+01    1.000e+03    1.000e+00    5.000e-17    1.995e-05    1.017e-06    1.490e-10    6.656e-11    6.256e-11
    1.000e+02    1.000e+01    1.000e+03    3.162e+00    5.000e-17    7.846e-05    7.803e-05    7.654e-05    7.177e-05    5.659e-05
    1.000e+02    1.000e+01    1.000e+03    1.000e+01    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.226e-05    5.929e-05
    1.000e+02    1.000e+01    1.000e+03    1.000e+02    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.000e+01    3.162e+03    1.000e-03    5.000e-17    1.721e-15    3.880e-16    9.250e-17    8.956e-17    8.905e-17
    1.000e+02    1.000e+01    3.162e+03    1.000e-02    5.000e-17    5.093e-15    3.112e-15    7.776e-16    1.599e-16    1.542e-16
    1.000e+02    1.000e+01    3.162e+03    1.000e-01    5.000e-17    2.423e-14    2.169e-14    1.559e-14    6.215e-15    9.646e-16
    1.000e+02    1.000e+01    3.162e+03    3.162e-01    5.000e-17    1.777e-13    1.710e-13    1.528e-13    1.151e-13    5.903e-14
    1.000e+02    1.000e+01    3.162e+03    1.000e+00    5.000e-17    1.030e-06    1.027e-10    1.520e-11    1.376e-11    1.269e-11
    1.000e+02    1.000e+01    3.162e+03    3.162e+00    5.000e-17    7.843e-05    7.796e-05    7.631e-05    7.097e-05    5.397e-05
    1.000e+02    1.000e+01    3.162e+03    1.000e+01    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.226e-05    5.906e-05
    1.000e+02    1.000e+01    3.162e+03    1.000e+02    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.000e+01    1.000e+04    1.000e-03    5.000e-17    3.864e-17    9.835e-18    9.645e-18    9.569e-18    9.544e-18
    1.000e+02    1.000e+01    1.000e+04    1.000e-02    5.000e-17    3.037e-16    7.920e-17    1.704e-17    1.641e-17    1.637e-17
    1.000e+02    1.000e+01    1.000e+04    1.000e-01    5.000e-17    2.169e-15    1.634e-15    6.892e-16    1.029e-16    6.956e-17
    1.000e+02    1.000e+01    1.000e+04    3.162e-01    5.000e-17    1.890e-14    1.762e-14    1.416e-14    7.420e-15    1.457e-15
    1.000e+02    1.000e+01    1.000e+04    1.000e+00    5.000e-17    9.037e-11    2.463e-12    2.342e-12    2.131e-12    1.875e-12
    1.000e+02    1.000e+01    1.000e+04    3.162e+00    5.000e-17    7.837e-05    7.773e-05    7.556e-05    6.861e-05    4.762e-05
    1.000e+02    1.000e+01    1.000e+04    1.000e+01    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.225e-05    5.892e-05
    1.000e+02    1.000e+01    1.000e+04    1.000e+02    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.000e+01    1.000e+05    1.000e-03    5.000e-17    8.563e-20    8.561e-20    8.556e-20    8.548e-20    8.545e-20
    1.000e+02    1.000e+01    1.000e+05    1.000e-02    5.000e-17    1.480e-19    1.461e-19    1.460e-19    1.458e-19    1.458e-19
    1.000e+02    1.000e+01    1.000e+05    1.000e-01    5.000e-17    3.383e-18    7.659e-19    6.090e-19    6.084e-19    6.082e-19
    1.000e+02    1.000e+01    1.000e+05    3.162e-01    5.000e-17    8.959e-17    5.048e-17    1.118e-17    5.161e-18    5.150e-18
    1.000e+02    1.000e+01    1.000e+05    1.000e+00    5.000e-17    2.707e-14    2.665e-14    2.488e-14    1.877e-14    8.141e-15
    1.000e+02    1.000e+01    1.000e+05    3.162e+00    5.000e-17    7.744e-05    7.479e-05    6.670e-05    4.558e-05    9.450e-06
    1.000e+02    1.000e+01    1.000e+05    1.000e+01    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.225e-05    5.883e-05
    1.000e+02    1.000e+01    1.000e+05    1.000e+02    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.000e+01    1.000e+06    1.000e-03    5.000e-17    8.316e-22    8.315e-22    8.315e-22    8.314e-22    8.314e-22
    1.000e+02    1.000e+01    1.000e+06    1.000e-02    5.000e-17    1.418e-21    1.418e-21    1.418e-21    1.418e-21    1.418e-21
    1.000e+02    1.000e+01    1.000e+06    1.000e-01    5.000e-17    5.890e-21    5.890e-21    5.889e-21    5.888e-21    5.888e-21
    1.000e+02    1.000e+01    1.000e+06    3.162e-01    5.000e-17    5.956e-20    4.914e-20    4.912e-20    4.911e-20    4.911e-20
    1.000e+02    1.000e+01    1.000e+06    1.000e+00    5.000e-17    1.476e-16    1.161e-16    5.505e-17    1.288e-17    1.032e-17
    1.000e+02    1.000e+01    1.000e+06    3.162e+00    5.000e-17    6.859e-05    5.089e-05    1.943e-05    6.697e-07    1.099e-10
    1.000e+02    1.000e+01    1.000e+06    1.000e+01    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.223e-05    5.864e-05
    1.000e+02    1.000e+01    1.000e+06    1.000e+02    5.000e-17    7.846e-05    7.806e-05    7.666e-05    7.227e-05    5.973e-05
    1.000e+02    1.500e+01    1.000e-01    1.000e-03    5.000e-17    6.776e-05    4.904e-05    1.763e-05    1.275e-06    7.343e-07
    1.000e+02    1.500e+01    1.000e-01    1.000e-02    5.000e-17    7.186e-05    5.908e-05    3.169e-05    4.705e-06    1.060e-06
    1.000e+02    1.500e+01    1.000e-01    1.000e-01    5.000e-17    7.642e-05    7.181e-05    5.878e-05    3.085e-05    3.998e-06
    1.000e+02    1.500e+01    1.000e-01    3.162e-01    5.000e-17    7.803e-05    7.675e-05    7.263e-05    6.064e-05    3.217e-05
